file,mse,ssim,anomaly
100601_12015_15_preprocessed.npy,0.36070753555860785,0.4977422912452471,True
1550_20ns_preprocessed.npy,0.3023109078794771,0.5063423885494084,True
50_2_preprocessed.npy,0.2758679181269712,0.6019110525839859,False
50_1_preprocessed.npy,0.26790239791791565,0.674392684698088,False
100601_12015_30_preprocessed.npy,0.22828904473437736,0.6274241121744794,False
100601_12015_18_preprocessed.npy,0.20728393273601936,0.5859683292386875,False
1310_20ns_preprocessed.npy,0.20621839027104863,0.5835073738877302,False
100601_12015_14_preprocessed.npy,0.20491061178976394,0.5787086844588208,False
100601_12015_20_preprocessed.npy,0.19564942845135078,0.6489709533800211,False
100601_12015_28_preprocessed.npy,0.19485024766834086,0.6948517786914179,False
100601_12015_3_preprocessed.npy,0.1922479027046078,0.6394166178520088,False
1550_3000ns_preprocessed.npy,0.1913255104180786,0.5993463774429939,False
100601_12015_5_preprocessed.npy,0.18643233430262018,0.6486123591690448,False
1310_40ns_preprocessed.npy,0.18257440168846703,0.6199139636787082,False
100601_12015_27_preprocessed.npy,0.17779876807753467,0.6811719094006696,False
1310_3000ns_preprocessed.npy,0.17511359762330442,0.6470424151194567,False
100601_12015_10_preprocessed.npy,0.17260684260048953,0.6946097450218369,False
100601_12015_13_preprocessed.npy,0.1616541089547506,0.6101123711658367,False
100601_12015_1_preprocessed.npy,0.15701897042206137,0.7218695865358895,False
100601_12015_11_preprocessed.npy,0.1550185836557112,0.7087495649849397,False
100601_12015_39_preprocessed.npy,0.1504972778237128,0.625343513089217,False
100601_12015_21_preprocessed.npy,0.14799640987204182,0.7595450388714734,False
100601_12015_9_preprocessed.npy,0.14798925484036404,0.6734162810012095,False
100601_12015_19_preprocessed.npy,0.1473717535602605,0.7456166842326309,False
100601_12015_17_preprocessed.npy,0.14630778417199014,0.7352088924876465,False
100601_12015_2_preprocessed.npy,0.14038470494836322,0.7072331494818084,False
100601_12015_7_preprocessed.npy,0.13833046989302508,0.7315454695088434,False
100601_12015_4_preprocessed.npy,0.12046024587119815,0.7627351026392676,False
100601_12015_12_preprocessed.npy,0.12018685776900453,0.7755725876865365,False
100601_12015_34_preprocessed.npy,0.11448947647884757,0.7664359925230771,False
100601_12015_35_preprocessed.npy,0.11340805768297167,0.7893672247232222,False
100601_12015_36_preprocessed.npy,0.10901959140490498,0.7568303798228619,False
100601_12015_23_preprocessed.npy,0.10592406858197229,0.7807241366908019,False
100601_12015_29_preprocessed.npy,0.10470734327788077,0.8139358630610495,False
1550_40ns_preprocessed.npy,0.09806033157850978,0.7517587118869936,False
100601_12015_33_preprocessed.npy,0.09554560306379488,0.8166048871577265,False
100601_12015_25_preprocessed.npy,0.09095409034895291,0.7762708600082824,False
1310_150ns_preprocessed.npy,0.09043680077185323,0.8367624044814858,False
1550_150ns_preprocessed.npy,0.08645508169574276,0.7856539034083431,False
100601_12015_6_preprocessed.npy,0.08550822598101786,0.798800631156346,False
100601_12015_24_preprocessed.npy,0.08437024149048622,0.8050325790251264,False
1550_1000ns_preprocessed.npy,0.07885089635692044,0.772166554901782,False
1310_1000ns_preprocessed.npy,0.07857954041218096,0.7710972618171034,False
100601_12015_preprocessed.npy,0.07505379664004384,0.8089242545795211,False
100601_12015_31_preprocessed.npy,0.06781115386366111,0.7930499161267095,False
1310_500ns_preprocessed.npy,0.06636684880116728,0.7139027878814519,False
100601_12015_32_preprocessed.npy,0.06316304430502787,0.8074039772960836,False
1550_500ns_preprocessed.npy,0.06300280423927729,0.7619396998484597,False
100601_12015_22_preprocessed.npy,0.059515845326194,0.8044667172214212,False
100601_12015_26_preprocessed.npy,0.05698249189269187,0.8407342872492252,False
100601_12015_38_preprocessed.npy,0.050107915273564355,0.8643100661732221,False
